Feedback ID,Feedback Text,Rating,Source,Brand,Product,Category,Date
F0001,This SanDisk memory card works perfectly with my phone. Fast transfer speeds and reliable storage.,5,Amazon,SanDisk,128GB MicroSD,Electronics,2024-11-04
F0002,Memory card stopped working after 2 months. Lost all my photos. Very disappointed.,1,Amazon,SanDisk,64GB MicroSD,Electronics,2024-01-24
F0003,Great capacity for the price. Easy to install in my Samsung Galaxy. Highly recommend.,5,Amazon,SanDisk,256GB MicroSD,Electronics,2024-05-08
F0004,The card is not compatible with my Samsung Galaxy S21. Tried everything. Does not read.,2,Amazon,Samsung,MicroSD Card,Electronics,2024-04-05
F0005,Storage card corrupted after firmware update on my Galaxy phone. Lost important data.,1,Amazon,Samsung,128GB EVO,Electronics,2024-12-04
F0006,Perfect memory card. Works flawlessly. Fast read and write speeds for video recording.,5,Amazon,Lexar,256GB Card,Electronics,2024-11-24
F0007,Card keeps getting ejected from my phone slot. Compatibility issues with newer Samsung models.,2,Amazon,PNY,MicroSD,Electronics,2024-09-03
F0008,Excellent storage solution. 256GB gives me plenty of space for all my photos and videos.,5,Amazon,SanDisk,256GB Ultra,Electronics,2024-10-14
F0009,Amazing app! Super easy to navigate. The new update improved everything significantly.,5,Google Play,MobileApp,Task Manager,Apps,2024-01-01
F0010,App installs perfectly and runs smoothly. Reviews and ratings feature is very useful.,4,Google Play,DevCo,Note App,Apps,2024-02-07
F0011,Interface is intuitive and clean. Love the dashboard layout. Very user friendly design.,5,Google Play,AppStudio,Planner App,Apps,2024-04-17
F0012,App size is reasonable. Installs quickly. Feature set is decent for everyday tasks.,4,Google Play,TechApps,Calendar Pro,Apps,2024-10-01
F0013,Navigation is confusing. Cannot find basic settings. Buttons do not respond sometimes.,2,Google Play,AppCo,Fitness Tracker,Apps,2024-09-07
F0014,Crashes frequently on startup. Lost all my data twice. Support team never responded.,1,Google Play,DevTeam,Budget App,Apps,2024-12-21
F0015,Good app overall. Some features need polish but works well for daily use. Reasonable size.,4,Google Play,AppWorks,Habit Tracker,Apps,2024-12-18
F0016,Notification system is broken. App keeps running in background draining battery life.,2,Google Play,MobileDev,Reminder App,Apps,2024-07-08
F0017,This deodorant smells absolutely amazing. Natural fresh scent lasts all day. No irritation.,5,Amazon,Schmidts,Rose Bergamot,Beauty,2024-08-19
F0018,Love the natural ingredients. Gentle on sensitive skin. Scent is subtle and pleasant.,5,Amazon,Schmidts,Fragrance Free,Beauty,2024-05-26
F0019,Skin reacted badly to this product. Caused rash after two days of use. Very irritating.,1,Amazon,Schmidts,Charcoal Magnesium,Beauty,2024-01-25
F0020,Natural deodorant that actually works. No bad odor throughout the day. Score.,5,Amazon,SheaMoisture,Coconut Hibiscus,Beauty,2024-03-23
F0021,Packaging leaking when arrived. Seal was broken. Product spilled inside the box.,2,Amazon,Schmidts,Lavender Sage,Beauty,2024-07-11
F0022,Lovely scent but does not last more than 3 hours. Need to reapply several times daily.,3,Amazon,NativeCo,Coconut Vanilla,Beauty,2024-05-05
F0023,Best gelato I have ever tasted. Creamy rich texture. The pistachio flavour is outstanding.,5,Amazon,Talenti,Pistachio Gelato,Food,2024-04-25
F0024,Too sweet for my taste. Would prefer less sugar. But texture is very creamy and smooth.,3,Amazon,Talenti,Sea Salt Caramel,Food,2024-06-04
F0025,Delicious ice cream. Perfect consistency. Fresh ingredients. Definitely buying again.,5,Amazon,Talenti,Mediterranean Mint,Food,2024-02-13
F0026,Price is way too high for the small container size. Taste is good but not worth it.,2,Amazon,Talenti,Roman Raspberry,Food,2024-02-12
F0027,This SanDisk memory card works perfectly with my phone. Fast transfer speeds and reliable storage.,5,Amazon,SanDisk,128GB MicroSD,Electronics,2024-06-20
F0028,Memory card stopped working after 2 months. Lost all my photos. Very disappointed.,1,Amazon,SanDisk,64GB MicroSD,Electronics,2024-05-26
F0029,Great capacity for the price. Easy to install in my Samsung Galaxy. Highly recommend.,5,Amazon,SanDisk,256GB MicroSD,Electronics,2024-01-24
F0030,The card is not compatible with my Samsung Galaxy S21. Tried everything. Does not read.,2,Amazon,Samsung,MicroSD Card,Electronics,2024-08-18
F0031,Storage card corrupted after firmware update on my Galaxy phone. Lost important data.,1,Amazon,Samsung,128GB EVO,Electronics,2024-02-13
F0032,Perfect memory card. Works flawlessly. Fast read and write speeds for video recording.,5,Amazon,Lexar,256GB Card,Electronics,2024-02-18
